0.746,MOTU_ID,Measurement_number,Cell_length,Cell_length_units,Cell_width,Cell_width_units,Cell_area,Cell_area_units,Gram_positive_or_negative,Endospore_yes_no,Endospore_type,Capsule_yes_no,
Isabella_Finney,1,1,0.727,µm,0.712,µm,0.048,μm²,Gram_negative,,,no,
Isabella_Finney,1,2,1.023,µm,1.341,µm,0.066,μm²,Gram_negative,,,no,
Isabella_Finney,1,3,0.793,µm,0.722,µm,0.05,μm²,Gram_negative,,,no,
Isabella_Finney,1,4,0.962,µm,0.902,µm,0.061,μm²,Gram_negative,,,no,
Isabella_Finney,1,5,1.086,µm,0.909,µm,0.59,μm²,Gram_negative,,,no,
Isabella_Finney,2,1,1.737,µm,1.568,µm,0.099,μm²,Gram_positive,,,no,
Isabella_Finney,2,2,1.877,µm,1.935,µm,1.12,μm²,Gram_positive,,,no,
Isabella_Finney,2,3,1.502,µm,1.893,µm,0.118,μm²,Gram_positive,,,no,
Isabella_Finney,2,4,1.622,µm,1.98,µm,1.125,μm²,Gram_positive,,,no,
Isabella_Finney,2,5,1.566,µm,1.754,µm,0.11,μm²,Gram_positive,,,no,
Isabella_Finney,3,1,0.0897,µm,3.139,µm,0.061,μm²,Gram_positive,,,no,
Isabella_Finney,3,2,0.784,µm,2.637,µm,0.165,μm²,Gram_positive,,,no,
Isabella_Finney,3,3,0.815,µm,2.785,µm,0.173,μm²,Gram_positive,,,no,
Isabella_Finney,3,4,0.909,µm,3.022,µm,0.187,μm²,Gram_positive,,,no,
Isabella_Finney,3,5,0.86,µm,2.721,µm,0.169,μm²,Gram_positive,,,no,
Isabella_Finney,4,1,0.739,µm,2.064,µm,0.129,μm²,Gram_positive,,,no,
Isabella_Finney,4,2,0.854,µm,1.784,µm,0.112,μm²,Gram_positive,,,no,
Isabella_Finney,4,3,0.599,µm,1.534,µm,0.096,μm²,Gram_positive,,,no,
Isabella_Finney,4,4,0.707,µm,1.422,µm,0.088,μm²,Gram_positive,,,no,
Isabella_Finney,4,5,0.673,µm,1.886,µm,0.118,μm²,Gram_positive,,,no,
Isabella_Finney,5,1,0.955,µm,2.536,µm,0.158,μm²,Gram_positive,,,no,
Isabella_Finney,5,2,1.051,µm,2.7,µm,0.169,μm²,Gram_positive,,,no,
Isabella_Finney,5,3,1.051,µm,2.02,µm,0.125,μm²,Gram_positive,,,no,
Isabella_Finney,5,4,1.102,µm,2.641,µm,0.165,μm²,Gram_positive,,,no,
Isabella_Finney,5,5,0.996,µm,2.443,µm,0.151,μm²,Gram_positive,,,no,
Isabella_Finney,6,1,1.065,µm,5.099,µm,0.312,μm²,Gram_positive,,,no,
Isabella_Finney,6,2,0.973,µm,5.533,µm,0.338,μm²,Gram_positive,,,no,
Isabella_Finney,6,3,0.757,µm,4.208,µm,0.257,μm²,Gram_positive,,,no,
Isabella_Finney,6,4,0.752,µm,5.064,µm,0.312,μm²,Gram_positive,,,no,
