location_name_or_control,individual_plant_number,replicate_number,number_of_morphotypes_total,number_of_colonies_total,NOTES,,,,,
wax_begonia,1,1,2,3,,,,,,
wax_begonia,1,2,5,5,,,,,,
wax_begonia,1,3,2,2,,,,,,
wax_begonia,1,4,8,39,,,,,,
wax_begonia,2,1,9,71,,,,,,
wax_begonia,2,2,5,119,,,,,,
wax_begonia,2,3,2,163,"almost single colony, considerable amount of yellow morph",,,,,
wax_begonia,2,4,2,1000,,,,,,
wax_begonia,3,1,8,42,,,,,,
wax_begonia,3,2,7,1000,,,,,,
wax_begonia,3,3,4,23,,,,,,
wax_begonia,3,4,8,54,,,,,,
wax_begonia,4,1,7,58,,,,,,
wax_begonia,4,2,9,1000,,,,,,
wax_begonia,4,3,4,15,,,,,,
wax_begonia,4,4,4,13,,,,,,
wax_begonia,5,1,5,14,,,,,,
wax_begonia,5,2,6,61,,,,,,
wax_begonia,5,3,8,28,,,,,,
wax_begonia,5,4,1,1,,,,,,
wax_begonia,control,1,1,2,,,,,,
mexican_marigold,1,1,4,5,"OF INTEREST: cell exhibiting sectioning, photo taken (4/25)",,,,,
mexican_marigold,1,2,6,7,,,,,,
mexican_marigold,1,3,6,7,"OF INTEREST: cells don’t like each other, creating a zone of inhibition, one morph producing antibiotic that inhibits the other, phot taken (4/25)",,,,,
mexican_marigold,1,4,1,1,,,,,,
mexican_marigold,2,1,2,3,,,,,,
mexican_marigold,2,2,1,1000,completely covered,,,,,
mexican_marigold,2,3,5,8,,,,,,
mexican_marigold,2,4,4,1000,completely covered,,,,,
mexican_marigold,3,1,3,4,,,,,,
mexican_marigold,3,2,2,2,,,,,,
mexican_marigold,3,3,1,162,all on the edge,,,,,
mexican_marigold,3,4,14,1000,stacked on one another,,,,,
mexican_marigold,4,1,6,1000,,,,,,
mexican_marigold,4,2,6,23,,,,,,
mexican_marigold,4,3,9,18,,,,,,
mexican_marigold,4,4,0,0,,,,,,
mexican_marigold,5,1,3,34,,,,,,
mexican_marigold,5,2,1,1000,,,,,,
mexican_marigold,5,3,1,53,"OF INTEREST: ALMOST ENTIRE PLATE IS COVERED IN YELLOW, ORANGE CENTER , SMALL MORPHOTYPE",,,,,
mexican_marigold,5,4,1,1,,,,,,
mexican_marigold,control,1,0,0,,,,,,
lavendar,1,1,1,2,,,,,,
lavendar,1,2,0,0,,,,,,
lavendar,1,3,0,0,,,,,,
lavendar,1,4,3,118,,,,,,
lavendar,2,1,0,0,,,,,,
lavendar,2,2,0,0,,,,,,
lavendar,2,3,0,0,,,,,,
lavendar,2,4,0,0,,,,,,
lavendar,3,1,0,0,,,,,,
lavendar,3,2,1,1,,,,,,
lavendar,3,3,2,4,fungus (pink and fuzzy),,,,,
lavendar,3,4,0,0,,,,,,
lavendar,4,1,0,0,,,,,,
lavendar,4,2,0,0,,,,,,
lavendar,4,3,0,0,,,,,,
lavendar,4,4,0,0,,,,,,
lavendar,5,1,0,0,,,,,,
lavendar,5,2,3,5,fungus (pink and fuzzy),,,,,
lavendar,5,3,0,0,,,,,,
lavendar,5,4,0,0,,,,,,
lavendar,control,1,0,0,,,,,,
california_goldfields,1,1,1,1,,,,,,
california_goldfields,1,2,1,2,,,,,,
california_goldfields,1,3,1,1,,,,,,
california_goldfields,1,4,0,0,,,,,,
california_goldfields,2,1,0,0,,,,,,
california_goldfields,2,2,0,0,,,,,,
california_goldfields,2,3,1,2,,,,,,
california_goldfields,2,4,1,1,,,,,,
california_goldfields,3,1,0,0,,,,,,
california_goldfields,3,2,11,17,,,,,,
california_goldfields,3,3,0,0,,,,,,
california_goldfields,3,4,0,0,,,,,,
california_goldfields,4,1,4,4,,,,,,
california_goldfields,4,2,1,1000,,,,,,
california_goldfields,4,3,0,0,,,,,,
california_goldfields,4,4,0,0,,,,,,
california_goldfields,5,1,3,5,,,,,,
california_goldfields,5,2,0,0,,,,,,
california_goldfields,5,3,0,0,,,,,,
california_goldfields,5,4,0,0,,,,,,
california_goldfields,control,1,0,0,,,,,,
california_poppy,1,1,0,0,,,,,,
california_poppy,1,2,1,1,,,,,,
california_poppy,1,3,0,0,,,,,,
california_poppy,1,4,0,0,,,,,,
california_poppy,2,1,0,0,,,,,,
california_poppy,2,2,0,0,,,,,,
california_poppy,2,3,1,1,,,,,,
california_poppy,2,4,1,1,,,,,,
california_poppy,3,1,0,0,,,,,,
california_poppy,3,2,1,1000,,,,,,
california_poppy,3,3,0,0,,,,,,
california_poppy,3,4,0,0,,,,,,
california_poppy,4,1,0,0,,,,,,
california_poppy,4,2,0,0,,,,,,
california_poppy,4,3,0,0,,,,,,
california_poppy,4,4,0,0,,,,,,
california_poppy,5,1,0,0,,,,,,
california_poppy,5,2,0,0,,,,,,
california_poppy,5,3,0,0,,,,,,
california_poppy,5,4,0,0,,,,,,
california_poppy,control,1,0,0,,,,,,
white_foam,3,1,1,1000,,,,,,
white_foam,4,1,1,1000,,,,,,
